구별,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율
강남구,349,18,10,1650,3705,76.92307692307693,85.71428571428571,77.728285077951,42.857142857142854,86.48459383753502
강동구,123,8,3,789,2248,75.0,100.0,78.84615384615384,33.34742180896027,82.89085545722715
강북구,126,13,8,618,2348,100.0,92.85714285714286,82.35294117647058,43.09623430962343,88.63722159305398
강서구,191,13,8,1260,2718,100.0,100.0,72.90076335877863,60.1145038167939,84.75210477081384
관악구,221,14,8,827,2642,88.88888888888889,100.0,69.0625,30.56171470805617,80.10915706488781
광진구,220,26,4,1277,2180,100.0,100.0,91.66666666666666,42.2009253139458,83.04761904761905
구로구,164,11,6,889,2432,75.0,73.33333333333333,58.362989323843415,38.07280513918629,80.87795144662454
금천구,122,6,4,888,1776,100.0,100.0,80.79470198675497,56.66879387364391,86.46543330087634
노원구,121,7,10,801,2329,100.0,100.0,61.42131979695431,36.52530779753762,85.53066470804261
도봉구,106,10,3,478,1303,100.0,100.0,100.0,44.96707431796801,87.62609280430397
동대문구,146,13,5,814,2227,100.0,100.0,84.39306358381504,41.090358404846036,87.40188383045526
동작구,139,5,5,661,1587,100.0,55.55555555555556,48.771929824561404,35.442359249329755,83.0890052356021
마포구,247,10,8,813,2519,100.0,71.42857142857143,84.01360544217688,31.81996086105675,84.44518940663761
서대문구,124,4,2,738,1711,100.0,80.0,80.51948051948052,40.728476821192054,83.21984435797665
서초구,249,6,6,1091,2098,75.0,66.66666666666666,63.358778625954194,41.40417457305503,87.45310546060858
성동구,119,8,4,597,1395,100.0,88.88888888888889,94.44444444444444,37.14996888612321,86.53846153846155
성북구,124,4,5,741,1855,100.0,80.0,82.66666666666667,41.51260504201681,83.97464916251698
송파구,178,10,10,1129,2786,90.9090909090909,76.92307692307693,80.9090909090909,34.85643717196666,84.55235204855842
양천구,105,3,5,672,2030,100.0,50.0,87.5,35.55555555555556,80.90872857712236
영등포구,183,20,12,978,2961,85.71428571428571,90.9090909090909,62.03389830508475,32.99595141700405,82.89473684210526
용산구,173,14,5,587,1704,100.0,100.0,89.17525773195877,37.70070648683366,83.1219512195122
은평구,141,6,3,711,2306,100.0,66.66666666666666,84.93975903614458,37.14733542319749,86.92046739540143
종로구,161,9,5,837,1931,83.33333333333334,81.81818181818183,76.30331753554502,38.324175824175825,84.21282163105103
중구,111,6,2,859,1964,66.66666666666666,66.66666666666666,65.29411764705883,33.712715855573,88.3093525179856
중랑구,148,9,12,829,2407,92.3076923076923,81.81818181818183,79.14438502673798,38.82903981264637,84.54513523006673
